date,account_id,account_name,platform,campaign_id,campaign_name,creative_id,creative_name,currency,reporting_timezone,attribution_window,spend,impressions,clicks,purchases,revenue,data_status
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","45","1820","45","4","400","complete_test_fixture"
"2026-09-10","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","45","1820","45","4","400","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","196","9800","196","9","900","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","98","4900","98","4","400","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","98","3920","98","4","400","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","98","3920","98","4","400","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","49","1960","49","4","400","complete_test_fixture"
"2026-09-11","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","49","1960","49","4","400","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","210","10500","210","10","1000","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","105","5250","105","5","500","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","105","4200","105","5","500","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","105","4200","105","5","500","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","52","2100","52","5","500","complete_test_fixture"
"2026-09-12","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","52","2100","52","5","500","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","252","12600","252","12","1200","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","126","6300","126","6","600","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","126","5040","126","6","600","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","126","5040","126","6","600","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","63","2520","63","6","600","complete_test_fixture"
"2026-09-13","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","63","2520","63","6","600","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","224","11200","224","11","1100","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","112","5600","112","5","500","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","112","4480","112","5","500","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","112","4480","112","5","500","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","56","2240","56","5","500","complete_test_fixture"
"2026-09-14","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","56","2240","56","5","500","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","168","8400","168","11","1100","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","84","4200","84","7","700","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","84","3360","84","7","700","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","84","3360","84","7","700","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","43","1680","43","7","700","complete_test_fixture"
"2026-09-15","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","43","1680","43","7","700","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","336","16800","84","1","100","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","84","4200","84","4","400","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","84","3360","84","4","400","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","84","3360","84","4","400","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","42","1680","42","4","400","complete_test_fixture"
"2026-09-16","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","42","1680","42","4","400","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","364","18200","91","1","100","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","91","4550","91","4","400","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","91","3640","91","4","400","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","91","3640","91","4","400","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","45","1820","45","4","400","complete_test_fixture"
"2026-09-17","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","45","1820","45","4","400","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","392","19600","98","1","100","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","98","4900","98","4","400","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","98","3920","98","4","400","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","98","3920","98","4","400","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","49","1960","49","4","400","complete_test_fixture"
"2026-09-18","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","49","1960","49","4","400","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","420","21000","105","2","200","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","105","5250","105","5","500","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","105","4200","105","5","500","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","105","4200","105","5","500","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","52","2100","52","5","500","complete_test_fixture"
"2026-09-19","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","52","2100","52","5","500","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","504","25200","126","2","200","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","126","6300","126","6","600","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","126","5040","126","6","600","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","126","5040","126","6","600","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","63","2520","63","6","600","complete_test_fixture"
"2026-09-20","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","63","2520","63","6","600","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","448","22400","112","2","200","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","112","5600","112","5","500","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","112","4480","112","5","500","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","112","4480","112","5","500","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","56","2240","56","5","500","complete_test_fixture"
"2026-09-21","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","56","2240","56","5","500","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C01","Room makeover video","USD","Africa/Nairobi","7-day click","336","16800","84","5","500","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-PROS","Prospecting - Home Essentials","ZH-C02","Storage carousel","USD","Africa/Nairobi","7-day click","84","4200","84","7","700","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C03","Customer review video","USD","Africa/Nairobi","7-day click","84","3360","84","7","700","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-RET","Retargeting - Product Viewers","ZH-C04","Free delivery reminder","USD","Africa/Nairobi","7-day click","84","3360","84","7","700","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C05","New arrivals image","USD","Africa/Nairobi","7-day click","43","1680","43","7","700","complete_test_fixture"
"2026-09-22","zuri_home_b8_31","Zuri Home B8-31 Synthetic","synthetic_paid_social","ZH-LOY","Returning Customers","ZH-C06","Bundle savings carousel","USD","Africa/Nairobi","7-day click","43","1680","43","7","700","complete_test_fixture"
